Range(m),Elevation(degrees),Azimuth(degrees),Reflectivity,Time Stamp(s),Latitude,Longitude,Time Stamp(s)
9.273999999999999133e+00,1.000000000000000000e+00,2.695083333333333258e+02,2.200000000000000000e+01,2.466266380999999910e+03,3.410640566666666729e+01,-1.177120393333333368e+02,2.466357911999999942e+03
9.268000000000000682e+00,1.000000000000000000e+00,2.697083333333333144e+02,2.100000000000000000e+01,2.466266380999999910e+03,3.410640566666666729e+01,-1.177120393333333368e+02,2.466357911999999942e+03
9.272000000000000242e+00,1.000000000000000000e+00,2.701079166666667106e+02,1.900000000000000000e+01,2.466766698999999790e+03,3.410640566666666729e+01,-1.177120393333333368e+02,2.466848261999999977e+03
9.291999999999999815e+00,1.000000000000000000e+00,2.702979166666667084e+02,2.100000000000000000e+01,2.466766698999999790e+03,3.410640566666666729e+01,-1.177120393333333368e+02,2.466848261999999977e+03
9.278000000000000469e+00,1.000000000000000000e+00,2.698279166666666811e+02,1.900000000000000000e+01,2.467066624999999931e+03,3.410640516666666855e+01,-1.177120398333333355e+02,2.467146119999999883e+03
9.275999999999999801e+00,1.000000000000000000e+00,2.700179166666666788e+02,1.900000000000000000e+01,2.467066624999999931e+03,3.410640516666666855e+01,-1.177120398333333355e+02,2.467146119999999883e+03
9.275999999999999801e+00,1.000000000000000000e+00,2.702585416666666447e+02,2.100000000000000000e+01,2.468166794000000209e+03,3.410640483333333606e+01,-1.177120405000000005e+02,2.468247842000000219e+03
9.285999999999999588e+00,1.000000000000000000e+00,2.704635416666666856e+02,1.900000000000000000e+01,2.468166794000000209e+03,3.410640483333333606e+01,-1.177120405000000005e+02,2.468247842000000219e+03
9.272000000000000242e+00,1.000000000000000000e+00,2.701079166666667106e+02,1.900000000000000000e+01,2.468766646000000037e+03,3.410640483333333606e+01,-1.177120405000000005e+02,2.468839290999999776e+03
9.273999999999999133e+00,1.000000000000000000e+00,2.702979166666667084e+02,2.200000000000000000e+01,2.468766646000000037e+03,3.410640483333333606e+01,-1.177120405000000005e+02,2.468839290999999776e+03
9.279999999999999361e+00,1.000000000000000000e+00,2.695981249999999818e+02,2.100000000000000000e+01,2.469066570999999840e+03,3.410640466666666981e+01,-1.177120408333333330e+02,2.469148635000000013e+03
9.268000000000000682e+00,1.000000000000000000e+00,2.697931249999999750e+02,2.100000000000000000e+01,2.469066570999999840e+03,3.410640466666666981e+01,-1.177120408333333330e+02,2.469148635000000013e+03
9.282000000000000028e+00,1.000000000000000000e+00,2.695083333333333258e+02,2.100000000000000000e+01,2.469366496999999981e+03,3.410640466666666981e+01,-1.177120408333333330e+02,2.469446902000000136e+03
9.269999999999999574e+00,1.000000000000000000e+00,2.697083333333333144e+02,1.900000000000000000e+01,2.469366496999999981e+03,3.410640466666666981e+01,-1.177120408333333330e+02,2.469446902000000136e+03
9.279999999999999361e+00,1.000000000000000000e+00,2.705083333333333258e+02,1.700000000000000000e+01,2.469866814999999860e+03,3.410640466666666981e+01,-1.177120408333333330e+02,2.469948551999999836e+03
9.257999999999999119e+00,1.000000000000000000e+00,2.707083333333333144e+02,8.500000000000000000e+01,2.469866814999999860e+03,3.410640466666666981e+01,-1.177120408333333330e+02,2.469948551999999836e+03
9.268000000000000682e+00,1.000000000000000000e+00,2.704285416666666606e+02,2.100000000000000000e+01,2.470166741000000002e+03,3.410640433333333021e+01,-1.177120416666666642e+02,2.470243931999999859e+03
9.278000000000000469e+00,1.000000000000000000e+00,2.706335416666666447e+02,9.800000000000000000e+01,2.470166741000000002e+03,3.410640433333333021e+01,-1.177120416666666642e+02,2.470243931999999859e+03
9.282000000000000028e+00,1.000000000000000000e+00,2.698383333333333098e+02,1.900000000000000000e+01,2.470466667000000143e+03,3.410640433333333021e+01,-1.177120416666666642e+02,2.470532928999999967e+03
9.268000000000000682e+00,1.000000000000000000e+00,2.700383333333333553e+02,1.700000000000000000e+01,2.470466667000000143e+03,3.410640433333333021e+01,-1.177120416666666642e+02,2.470532928999999967e+03
9.285999999999999588e+00,1.000000000000000000e+00,2.700381249999999795e+02,1.900000000000000000e+01,2.470766591999999946e+03,3.410640433333333021e+01,-1.177120416666666642e+02,2.470838342999999895e+03
