Range(m),Elevation(degrees),Azimuth(degrees),Reflectivity,Time Stamp(s),Latitude,Longitude,Time Stamp(s)
1.323799999999999955e+01,1.000000000000000000e+00,9.046791666666666742e+01,2.300000000000000000e+01,2.120616692000000057e+03,3.410641249999999758e+01,-1.177119943333333367e+02,2.120695357999999942e+03
1.323399999999999999e+01,1.000000000000000000e+00,9.065791666666666515e+01,1.900000000000000000e+01,2.120616692000000057e+03,3.410641249999999758e+01,-1.177119943333333367e+02,2.120695357999999942e+03
1.291000000000000014e+01,1.000000000000000000e+00,8.993812500000001364e+01,9.900000000000000000e+01,2.120916616999999860e+03,3.410641249999999758e+01,-1.177119943333333367e+02,2.120999827000000096e+03
1.314400000000000013e+01,1.000000000000000000e+00,9.013312500000000682e+01,2.100000000000000000e+01,2.120916616999999860e+03,3.410641249999999758e+01,-1.177119943333333367e+02,2.120999827000000096e+03
1.289799999999999969e+01,1.000000000000000000e+00,8.992833333333334167e+01,9.900000000000000000e+01,2.122616637000000082e+03,3.410641216666666509e+01,-1.177119941666666705e+02,2.122692978999999923e+03
1.310599999999999987e+01,1.000000000000000000e+00,9.012833333333333030e+01,2.100000000000000000e+01,2.122616637000000082e+03,3.410641216666666509e+01,-1.177119941666666705e+02,2.122692978999999923e+03
1.283799999999999919e+01,1.000000000000000000e+00,8.979833333333334622e+01,1.000000000000000000e+02,2.122916563000000224e+03,3.410641216666666509e+01,-1.177119941666666705e+02,2.122991535999999996e+03
1.291000000000000014e+01,1.000000000000000000e+00,8.999833333333333485e+01,9.500000000000000000e+01,2.122916563000000224e+03,3.410641216666666509e+01,-1.177119941666666705e+02,2.122991535999999996e+03
1.290600000000000058e+01,1.000000000000000000e+00,8.991791666666667027e+01,1.000000000000000000e+02,2.124616585000000214e+03,3.410641150000000010e+01,-1.177119935000000055e+02,2.124695489000000180e+03
1.306000000000000050e+01,1.000000000000000000e+00,9.010791666666666799e+01,2.500000000000000000e+01,2.124616585000000214e+03,3.410641150000000010e+01,-1.177119935000000055e+02,2.124695489000000180e+03
1.323399999999999999e+01,1.000000000000000000e+00,9.038833333333333542e+01,2.500000000000000000e+01,2.125116903000000093e+03,3.410641116666666761e+01,-1.177119931666666730e+02,2.125197256999999809e+03
